Model,Horizon,MAE,RMSE,MAPE
Naive,15 Minutes,53.563827549947426,116.76283231257672,79.99036926256086
Naive,30 Minutes,53.56485163658611,116.76394850134068,79.99199832796069
Naive,1 Hour,53.56686168788956,116.76618064741594,79.99362745971621
Naive,2 Hours,53.570767524570726,116.77064319496104,79.99400532258132
Moving Average,15 Minutes,53.100320237071024,116.4231125050796,82.85475969109521
Moving Average,30 Minutes,53.101321122667485,116.42422540012176,82.85568337566389
Moving Average,1 Hour,53.103284769224885,116.42645071118343,82.85660709785643
Moving Average,2 Hours,53.10715514933649,116.43090056669975,82.85623244991923
Linear Regression,15 Minutes,20.026727907374383,64.82904793589675,184.83024033218734
Linear Regression,30 Minutes,21.53630553323104,66.14135708947005,205.6320094652963
Linear Regression,1 Hour,24.973492183772663,69.33292392145289,250.80432526067148
Linear Regression,2 Hours,31.26483273911465,76.02833354393407,321.05018964414273
