Model,Horizon,MAE,RMSE,MAPE (%)
Naive,15 Minutes,53.56382754994743,116.76283231257672,79.99036926256086
Naive,30 Minutes,53.56485163658611,116.76394850134068,79.99199832796069
Naive,1 Hour,53.56686168788956,116.76618064741594,79.99362745971621
Naive,2 Hours,53.570767524570726,116.77064319496104,79.99400532258132
Moving Average,15 Minutes,53.100320237071024,116.4231125050796,82.85475969109521
Moving Average,30 Minutes,53.101321122667485,116.42422540012176,82.85568337566389
Moving Average,1 Hour,53.103284769224885,116.42645071118343,82.85660709785643
Moving Average,2 Hours,53.10715514933649,116.43090056669976,82.85623244991923
Linear Regression,15 Minutes,20.026727907374383,64.82904793589675,184.83024033218732
Linear Regression,30 Minutes,21.53630553323104,66.14135708947005,205.6320094652963
Linear Regression,1 Hour,24.973492183772663,69.33292392145289,250.80432526067148
Linear Regression,2 Hours,31.26483273911465,76.02833354393407,321.05018964414273
Random Forest,15 Minutes,18.16911040770609,64.29606554802554,120.12752114618446
Random Forest,30 Minutes,18.48580072319411,64.77475025899106,124.35076204214268
Random Forest,1 Hour,19.18221663037445,65.20628982381623,129.5761404899579
Random Forest,2 Hours,20.363054026320743,66.31412347856357,132.59902113740094
Gradient Boosting,15 Minutes,17.347899557422032,62.92385352662671,119.7457783334087
Gradient Boosting,30 Minutes,17.754149231080184,63.22030262244581,125.0802645015078
Gradient Boosting,1 Hour,18.599041524334137,63.97589309586629,131.30952809143895
Gradient Boosting,2 Hours,20.35840981991952,65.41474111282785,151.55902808690632
ARIMA,15 Minutes,7.153889765351458,7.153889765351458,
ARIMA,30 Minutes,6.349118260477708,6.399918738592564,277.21733778019785
ARIMA,1 Hour,6.462083214172422,6.52640707002044,278.01288607051845
ARIMA,2 Hours,5.519215917152989,5.959737222427753,262.2606782502537
